,P1,0.16666666666666666,,,,P2,0.16666666666666666,,,,P3,0.16666666666666666,,,,P4,0.16666666666666666,,,,P5,0.16666666666666666,,,,P6,0.16666666666666666,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
deterministic_similarity: x0,0.6666700000000001,-0.0738859647066391,1.0,-0.03694298235331955,0.10389236862669415,0.0,-0.02473548315547225,0.0,-0.012367741577736124,-0.02473548315547225,0.0,0.04947207943551479,0.0,0.024736039717757397,0.133574948413261,0.8,-0.03690336199263278,1.0,-0.01845168099631639,0.07420830467403389,0.0,0.0939970622399352,0.0,0.0469985311199676,0.0939970622399352,0.0,0.0939970622399352,0.0,0.0469985311199676,0.0939970622399352,0.24444500000000002
deterministic_similarity: x1,0.6666700000000001,-0.0738859647066391,1.0,-0.03694298235331955,0.10389236862669415,0.0,-0.02473548315547225,0.0,-0.012367741577736124,-0.02473548315547225,0.0,0.04947207943551479,0.0,0.024736039717757397,0.133574948413261,0.8,-0.03690336199263278,1.0,-0.01845168099631639,0.07420830467403389,0.0,0.0939970622399352,0.0,0.0469985311199676,0.0939970622399352,0.0,0.0939970622399352,0.0,0.0469985311199676,0.0939970622399352,0.24444500000000002
deterministic_similarity: x2,0.6666700000000001,-0.0738859647066391,1.0,-0.03694298235331955,0.10389236862669415,0.0,-0.02473548315547225,0.0,-0.012367741577736124,-0.02473548315547225,0.0,0.04947207943551479,0.0,0.024736039717757397,0.133574948413261,0.8,-0.03690336199263278,1.0,-0.01845168099631639,0.07420830467403389,0.0,0.0939970622399352,0.0,0.0469985311199676,0.0939970622399352,0.0,0.0939970622399352,0.0,0.0469985311199676,0.0939970622399352,0.24444500000000002
deterministic_similarity: x3,0.6666700000000001,-0.0738859647066391,1.0,0,0.10389236862669415,0.0,-0.02473548315547225,0.0,0,-0.02473548315547225,0.0,0.04947207943551479,0.0,0,0.133574948413261,0.8,-0.03690336199263278,1.0,0,0.07420830467403389,0.0,0.0939970622399352,0.0,0,0.0939970622399352,0.0,0.0939970622399352,0.0,0,0.0939970622399352,0.24444500000000002
norm_similarity: x0,0.6666700000000001,-0.0730531764770671,1.0,-0.03590922105155604,0.10472515685626616,0.0,-0.02457581966120226,0.0,-0.011335912846168212,-0.02457581966120226,0.0,0.03191182471201115,0.0,0.016090848490980525,0.12440089600081705,0.8,-0.05381578603440029,1.0,-0.02867712249391006,0.05729588063226637,0.0,0.09094347350667209,0.0,0.04273541597275051,0.09094347350667209,0.0,0.09105576102625779,0.0,0.04295824070669232,0.09105576102625779,0.24444500000000002
norm_similarity: x1,0.0,-0.07556264731749773,0.0,-0.03841869189198667,0.0949278698041926,0.0,-0.019185222251742906,0.0,-0.00594531543670886,-0.019185222251742906,0.0,0.033642992880342115,0.0,0.01782201665931149,0.1098349558593178,0.8,-0.05002647098945312,1.0,-0.02488780744896289,0.061085195677213544,0.0,0.10751222695097684,0.0,0.05930416941705526,0.10751222695097684,0.0,0.10526813442629712,0.0,0.05717061410673165,0.10526813442629712,0.13333333333333333
norm_similarity: x2,0.0,-0.07424790875850151,0.0,-0.03710395333299045,0.08708930181899671,0.0,-0.03567839897725911,0.0,-0.02243849216222506,-0.03567839897725911,0.0,0.029371039733830484,0.0,0.01355006351279986,0.12204621155281403,0.8,-0.04698972421908798,1.0,-0.02185106067859775,0.06412194244757868,0.0,0.09079264474588056,0.0,0.04258458721195898,0.09079264474588056,0.0,0.09226122646483792,0.0,0.04416370614527245,0.09226122646483792,0.13333333333333333
norm_similarity: x3,0.6666700000000001,-0.07364186367963899,0.0,0,0.09445556273847844,0.0,-0.017465943507967152,0.0,0,-0.017465943507967152,0.0,0.03711394502709786,0.0,0,0.10473889581846196,0.8,-0.04572213400137404,1.0,0,0.06538953266529263,0.0,0.0987256680282248,0.0,0,0.0987256680282248,0.0,0.10048739509662619,0.0,0,0.10048739509662619,0.24444500000000002
gaussian_similarity: x0,0.0,-0.029343778025596956,0.0,-0.015212853715710645,0.0396241622421491,0.0,-0.008461259159834311,0.0,-0.0028521686397865644,-0.008461259159834311,0.0,0.012291575599728155,0.0,0.006573070116884165,0.04835706824504393,0.0,-0.04435783377518576,0.0,-0.02255998151912869,0.021895614813192132,0.0,0.03188611600022251,0.0,0.012800819637163879,0.03188611600022251,0.0,0.0319222269678362,0.0,0.012943602708584967,0.0319222269678362,0.0
gaussian_similarity: x1,0.0,-0.027686249804224183,0.0,-0.013555325494337873,0.03481732131928644,0.0,-0.006237548316259334,0.0,-0.0006284577962115869,-0.006237548316259334,0.0,0.012711312617582404,0.0,0.006992807134738414,0.0407079762059569,0.0,-0.04311586203101292,0.0,-0.02131800977495585,0.023828748665162103,0.0,0.050355824150353334,0.0,0.03127052778729471,0.050355824150353334,0.0,0.049661597915802935,0.0,0.030682973656551704,0.049661597915802935,0.0
gaussian_similarity: x2,0.0,-0.027755518029496717,0.0,-0.013624593719610407,0.02926185504672968,0.0,-0.01895573564419284,0.0,-0.013346645124145093,-0.01895573564419284,0.0,0.009308144679753383,0.0,0.003589639196909393,0.04858813056131239,0.0,-0.043313417730143744,0.0,-0.021515565474086673,0.02455363694877921,0.0,0.03226983802777594,0.0,0.013184541664717313,0.03226983802777594,0.0,0.03228792067186825,0.0,0.013309296412617022,0.03228792067186825,0.0
gaussian_similarity: x3,0.0,-0.027851437347179653,0.0,0,0.0353990200915425,0.0,-0.004963455631059599,0.0,0,-0.004963455631059599,0.0,0.014271463008168173,0.0,0,0.03952540833381252,0.0,-0.04331978673958359,0.0,0,0.024345308801969223,0.0,0.043940924235699175,0.0,0,0.043940924235699175,0.0,0.04431450271372672,0.0,0,0.04431450271372672,0.0
